IMPLdtl00069;IMPL-0013;#RIF!;CRC174LMXB03003;/;CRC174LMXB02003;/;SC;CRC0174LMXB03003;GABBIA A
IMPLdtl00070;IMPL-0013;#RIF!;CRC174LMXB03004;/;CRC174LMXB02003;/;SC;CRC0174LMXB03004;GABBIA A
IMPLdtl00071;IMPL-0013;#RIF!;CRC174LMXB03005;/;CRC174LMXB02004;/;SC;CRC0174LMXB03005;GABBIA A
IMPLdtl00072;IMPL-0013;#RIF!;CRC174LMXB03006;/;CRC174LMXB02004;/;SC;CRC0174LMXB03006;GABBIA A
IMPLdtl00073;IMPL-0013;#RIF!;CRC174LMXB03007;/;CRC174LMXB02002;/;SC;CRC0174LMXB03007;#N/D
IMPLdtl00074;IMPL-0013;#RIF!;CRC174LMXB03008;/;CRC174LMXB02002;/;SC;CRC0174LMXB03008;#N/D
IMPLdtl00075;IMPL-0013;#RIF!;CRC174LMXB03009;/;CRC174LMXB02003;/;SC;CRC0174LMXB03009;#N/D
IMPLdtl00076;IMPL-0013;#RIF!;CRC174LMXB03010;/;CRC174LMXB02003;/;SC;CRC0174LMXB03010;#N/D
IMPLdtl00077;IMPL-0013;#RIF!;CRC174LMXB03011;/;CRC174LMXB02004;/;SC;CRC0174LMXB03011;#N/D
IMPLdtl00078;IMPL-0013;#RIF!;CRC174LMXB03012;/;CRC174LMXB02004;/;SC;CRC0174LMXB03012;#N/D
IMPLdtl00079;IMPL-0014;#RIF!;CRC065LMXA04001;/;M026LM03001;/;SC;CRC0065LMXA04001;#N/D
IMPLdtl00080;IMPL-0014;#RIF!;CRC065LMXA04002;/;M026LM03002;/;SC;CRC0065LMXA04002;#N/D
IMPLdtl00081;IMPL-0014;#RIF!;CRC065LMXA04003;/;M026LM03003;/;SC;CRC0065LMXA04003;#N/D
IMPLdtl00082;IMPL-0014;#RIF!;CRC065LMXA04004;/;M026LM03004;/;SC;CRC0065LMXA04004;#N/D
IMPLdtl00083;IMPL-0015;#RIF!;CRC065PRXA04001;/;K026LM03001;/;SC;CRC0065PRXA04001;#N/D
IMPLdtl00084;IMPL-0015;#RIF!;CRC065PRXA04002;/;K026LM03002;/;SC;CRC0065PRXA04002;#N/D
IMPLdtl00085;IMPL-0015;#RIF!;CRC065PRXA04003;/;K026LM03003;/;SC;CRC0065PRXA04003;#N/D
IMPLdtl00086;IMPL-0015;#RIF!;CRC065PRXA04004;/;K026LM03004;/;SC;CRC0065PRXA04004;#N/D
IMPLdtl00087;IMPL-0016;#RIF!;BRC027PRXB01001;/;BRC027PRH00000;/;FP;BRC0027PRXB01001;#N/D
IMPLdtl00088;IMPL-0017;#RIF!;BRC028PRXB01001;/;BRC028PRH00000;/;FP;BRC0028PRXB01001;#N/D
IMPLdtl00089;IMPL-0018;#RIF!;CRC195PRXA01001;/;CRC195PRH00000;/;SC;CRC0195PRXA01001;#N/D
IMPLdtl00090;IMPL-0018;#RIF!;CRC195PRXB01001;/;CRC195PRH00000;/;SC;CRC0195PRXB01001;#N/D
