sample	to_germline	to_tumor	to_case	to_all
1140-CRC0127LMH0000000000D01000-01-H11	{CRC0127NLH0000000000D01000-03-H11:0 }	{CRC0127LMX0A01001TUMD01000-07-C9:0 CRC0127LMX0B02004TUMD01000-010-E10:0 CRC0127LMX0A02004TUMD01000-010-D10:0 CRC0127LMH0000000000D01000-01-H11:0 CRC0127LMX0B01001TUMD01000-08-C9:0 }	{CRC0127LMX0B01001TUMD01000-08-C9:0 CRC0127LMX0A01001TUMD01000-07-C9:0 CRC0127NLH0000000000D01000-03-H11:0 CRC0127LMX0A02004TUMD01000-010-D10:0 CRC0127LMH0000000000D01000-01-H11:0 CRC0127LMX0B02004TUMD01000-010-E10:0 }	
1141-CRC0143LMH0000000000D01000-02-A1	{CRC0143NLH0000000000D01000-04-A1:0 CRC0144NLH0000000000D01000-04-B1:0 }	{CRC0144LMH0000000000D01000-02-B1:0 CRC0143LMH0000000000D01000-02-A1:0 }	{CRC0143NLH0000000000D01000-04-A1:0 CRC0143LMH0000000000D01000-02-A1:0 }	
1142-CRC0151LMH0000000000D01000-02-A2	{CRC0151NLH0000000000D01000-04-A2:0 CRC0151NLH0000000000D01000-020-F9:0 }	{CRC0151LMX0B02004TUMD01000-09-C7:0 CRC0151LMX0A01201TUMD01000-020-F10:0 CRC0151LMX0B01001TUMD01000-08-H10:0 CRC0151LMX0A01001TUMD01000-07-H10:0 CRC0151LMH0000000000D01000-02-A2:0 }	{CRC0151LMX0B01001TUMD01000-08-H10:0 CRC0151LMX0B02004TUMD01000-09-C7:0 CRC0151LMX0A01001TUMD01000-07-H10:0 CRC0151LMX0A01201TUMD01000-020-F10:0 CRC0151NLH0000000000D01000-020-F9:0 CRC0151NLH0000000000D01000-04-A2:0 CRC0151LMH0000000000D01000-02-A2:0 }	
1143-CRC0162LMH0000000000D01000-02-A3	{CRC0162NLH0000000000D01000-04-A3:0 }	{CRC0162LMH0000000000D01000-02-A3:0 }	{CRC0162NLH0000000000D01000-04-A3:0 CRC0162LMH0000000000D01000-02-A3:0 }	
1145-CRC0184LMH0000000000D01000-02-A5	{CRC0184NLH0000000000D01000-04-A5:1 }	{CRC0184LMX0A02004TUMD01000-011-C5:0 CRC0184LMX0B01001TUMD01000-08-G12:0 CRC0184LMX0A01001TUMD01000-07-G12:0 CRC0184LMX0B03003TUMD01000-017-H11:0 CRC0184LMX0B02004TUMD01000-011-D5:0 CRC0184LMH0000000000D01000-02-A5:0 }	{CRC0184LMX0A02004TUMD01000-011-C5:0 CRC0184LMX0B01001TUMD01000-08-G12:0 CRC0184LMX0A01001TUMD01000-07-G12:0 CRC0184LMX0B03003TUMD01000-017-H11:0 CRC0184LMX0B02004TUMD01000-011-D5:0 CRC0184LMH0000000000D01000-02-A5:0 }	
1146-CRC0203LMH0000000000D01000-02-A6	{CRC0203NLH0000000000D01000-04-A6:0 }	{CRC0203LMH0000000000D01000-02-A6:0 }	{CRC0203NLH0000000000D01000-04-A6:0 CRC0203LMH0000000000D01000-02-A6:0 }	
1148-CRC0228LMH0000000000D01000-02-A8	{CRC0228NLH0000000000D01000-04-A8:0 }	{CRC0228LMH0000000000D01000-02-A8:0 }	{CRC0228NLH0000000000D01000-04-A8:0 CRC0228LMH0000000000D01000-02-A8:0 }	
1149-CRC0240LMH0000000000D01000-02-A9	{CRC0240NLH0000000000D01000-04-A9:0 }	{CRC0240PRX0A01001TUMD01000-013-A5:0 CRC0240LMH0000000000D01000-02-A9:0 }	{CRC0240PRX0A01001TUMD01000-013-A5:0 CRC0240NLH0000000000D01000-04-A9:0 CRC0240LMH0000000000D01000-02-A9:0 }	
1150-CRC0267LMH0000000000D01000-02-A10	{CRC0267NLH0000000000D01000-04-A10:0 }	{CRC0267LMH0000000000D01000-02-A10:0 CRC0267LMX0A01001TUMD01000-06-A7:0 }	{CRC0267NLH0000000000D01000-04-A10:0 CRC0267LMH0000000000D01000-02-A10:0 CRC0267LMX0A01001TUMD01000-06-A7:0 }	
1151-CRC0291LMH0000000000D01000-02-A11	{CRC0291NLH0000000000D01000-04-A11:0 }	{CRC0291LMX0B01001TUMD01000-06-G11:0 CRC0291LMX0A03002TUMD01000-014-H7:0 CRC0291LMX0A03005TUMD01000-014-C7:0 CRC0291LMX0A02004TUMD01000-011-D10:0 CRC0291LMX0A01001TUMD01000-06-F7:0 CRC0291LMX0A03003TUMD01000-014-D7:0 CRC0291LMX0B02001TUMD01000-011-E10:0 CRC0291LMH0000000000D01000-02-A11:0 }	{CRC0291LMX0B01001TUMD01000-06-G11:0 CRC0291LMX0A03002TUMD01000-014-H7:0 CRC0291LMX0A03005TUMD01000-014-C7:0 CRC0291LMX0A02004TUMD01000-011-D10:0 CRC0291LMX0A01001TUMD01000-06-F7:0 CRC0291LMX0A03003TUMD01000-014-D7:0 CRC0291NLH0000000000D01000-04-A11:0 CRC0291LMX0B02001TUMD01000-011-E10:0 CRC0291LMH0000000000D01000-02-A11:0 }	
1152-CRC0306LMH0000000000D01000-02-A12	{CRC0166NLH0000000000D01000-04-D3:1 CRC0307NLH0000000000D01000-04-B12:1 CRC0306NLH0000000000D01000-04-A12:1 CRC0166NLH0000000000D01000-020-G7:1 }	{CRC0306LMH0000000000D01000-02-A12:0 CRC0306LMX0A03005TUMD01000-017-C1:0 CRC0306LMX0B02004TUMD01000-011-H10:0 CRC0306LMX0B04006TUMD01000-027-A9:0 CRC0306LMX0B03011TUMD01000-016-H9:0 CRC0306LMX0B04010TUMD01000-027-G8:0 CRC0306LMX0A03003TUMD01000-017-D1:0 CRC0306LMX0B04007TUMD01000-027-E8:0 CRC0306LMX0B01001TUMD01000-012-C3:0 CRC0306LMX0B04005TUMD01000-027-H8:0 CRC0306LMX0A03001TUMD01000-017-B5:0 CRC0166LMX0B02004TUMD01000-09-A12:0 CRC0306LMX0B03009TUMD01000-016-G9:0 CRC0306LMX0B03007TUMD01000-016-B8:0 CRC0306LMX0A02004TUMD01000-014-E3:0 CRC0306LMX0B04008TUMD01000-027-F8:0 }	{CRC0306LMH0000000000D01000-02-A12:0 CRC0306LMX0A03005TUMD01000-017-C1:0 CRC0306LMX0B02004TUMD01000-011-H10:0 CRC0306LMX0B04006TUMD01000-027-A9:0 CRC0306LMX0B03011TUMD01000-016-H9:0 CRC0306LMX0B04010TUMD01000-027-G8:0 CRC0306LMX0A03003TUMD01000-017-D1:0 CRC0306LMX0B04007TUMD01000-027-E8:0 CRC0306LMX0B01001TUMD01000-012-C3:0 CRC0306LMX0B04005TUMD01000-027-H8:0 CRC0306LMX0A03001TUMD01000-017-B5:0 CRC0306LMX0B03009TUMD01000-016-G9:0 CRC0306LMX0B03007TUMD01000-016-B8:0 CRC0306LMX0A02004TUMD01000-014-E3:0 CRC0306LMX0B04008TUMD01000-027-F8:0 }	
1153-CRC0144LMH0000000000D01000-02-B1	{CRC0143NLH0000000000D01000-04-A1:0 CRC0144NLH0000000000D01000-04-B1:0 }	{CRC0144LMH0000000000D01000-02-B1:0 CRC0143LMH0000000000D01000-02-A1:0 }	{CRC0144LMH0000000000D01000-02-B1:0 CRC0144NLH0000000000D01000-04-B1:0 }	
1154-CRC0152LMH0000000000D01000-02-B2	{CRC0152NLH0000000000D01000-04-B2:0 CRC0152NLH0000000000D01000-020-F11:0 }	{CRC0152LMX0B01201TUMD02000-020-F12:0 CRC0152LMX0B02004TUMD01000-011-D1:0 CRC0152LMH0000000000D01000-02-B2:0 CRC0152LMX0B01001TUMD01000-06-F9:0 }	{CRC0152NLH0000000000D01000-04-B2:0 CRC0152LMH0000000000D01000-02-B2:0 CRC0152LMX0B02004TUMD01000-011-D1:0 CRC0152NLH0000000000D01000-020-F11:0 CRC0152LMX0B01201TUMD02000-020-F12:0 CRC0152LMX0B01001TUMD01000-06-F9:0 }	
1155-CRC0163LMH0000000000D01000-02-B3	{CRC0163NLH0000000000D01000-04-B3:0 }	{CRC0163LMH0000000000D01000-02-B3:0 CRC0163LMX0B01001TUMD01000-06-H9:0 }	{CRC0163NLH0000000000D01000-04-B3:0 CRC0163LMH0000000000D01000-02-B3:0 CRC0163LMX0B01001TUMD01000-06-H9:0 }	
1156-CRC0174LMH0000000000D01000-02-B4	{CRC0173NLH0000000000D01000-021-C3:0 CRC0173NLH0000000000D01000-04-A4:0 }	{CRC0174LMX0B02004TUMD01000-011-C4:0 CRC0173LMH0000000000D01000-02-G2:0 CRC0174LMH0000000000D01000-02-B4:0 CRC0214LMX0A01201TUMD03000-031-G7:0 CRC0174LMX0A01001TUMD01000-06-F3:0 }	{CRC0174LMX0B02004TUMD01000-011-C4:0 CRC0174LMH0000000000D01000-02-B4:0 CRC0174LMX0A01001TUMD01000-06-F3:0 }	
1157-CRC0188LMH0000000000D01000-02-B5	{CRC0188NLH0000000000D01000-04-B5:0 CRC0188NLH0000000000D01000-021-D1:0 }	{CRC0188LMH0000000000D01000-02-B5:0 }	{CRC0188NLH0000000000D01000-04-B5:0 CRC0188LMH0000000000D01000-02-B5:0 CRC0188NLH0000000000D01000-021-D1:0 }	
1158-CRC0204LMH0000000000D01000-02-B6	{CRC0616NLH0000000000D01000-028-B5:2 CRC0204NLH0000000000D01000-021-D9:2 CRC0204NLH0000000000D01000-04-B6:2 CRC0070NLH0000000000D01000-03-E4:2 }	{CRC0204LMX0B03009TUMD01000-014-E5:0 CRC0204LMX0A02004TUMD01000-011-C7:0 CRC0204LMH0000000000D01000-02-B6:0 CRC0204LMX0B02004TUMD01000-011-D7:0 CRC0204LMX0A01001TUMD01000-06-F4:0 CRC0202LMX0A01201TUMD01000-021-D8:0 CRC0204LMX0A03007TUMD01000-014-D5:0 CRC0204LMX0B01001TUMD01000-06-D11:0 }	{CRC0204LMX0B03009TUMD01000-014-E5:0 CRC0204LMX0A02004TUMD01000-011-C7:0 CRC0204LMH0000000000D01000-02-B6:0 CRC0204LMX0B02004TUMD01000-011-D7:0 CRC0204LMX0A01001TUMD01000-06-F4:0 CRC0204LMX0A03007TUMD01000-014-D5:0 CRC0204LMX0B01001TUMD01000-06-D11:0 }	
1159-CRC0216LMH0000000000D01000-02-B7	{CRC0216NLH0000000000D01000-04-B7:0 }	{CRC0216LMX0A02004TUMD01000-011-A8:0 CRC0216LMX0A01001TUMD01000-06-A5:0 CRC0216LMH0000000000D01000-02-B7:0 }	{CRC0216LMX0A01001TUMD01000-06-A5:0 CRC0216LMX0A02004TUMD01000-011-A8:0 CRC0216NLH0000000000D01000-04-B7:0 CRC0216LMH0000000000D01000-02-B7:0 }	
1160-CRC0229LMH0000000000D01000-02-B8	{CRC0253NLH0000000000D01000-05-D2:0 CRC0229NLH0000000000D01000-04-B8:0 }	{CRC0229LMX0B01001TUMD01000-06-D12:0 CRC0229LMX0A02004TUMD01000-011-H8:0 CRC0229LMX0B04005TUMD01000-034-A1:0 CRC0229LMH0000000000D01000-02-B8:0 CRC0229LMX0B02004TUMD01000-011-A9:0 CRC0229LMX0B05016TUMD01000-034-A12:0 CRC0214LMX0A01001TUMD01000-06-H4:0 CRC0204LMX0A01201TUMD01000-021-D10:0 CRC0229LMX0B03003TUMD01000-029-H10:0 CRC0229LMX0B05017TUMD01000-034-B12:0 CRC0229LMX0A01001TUMD01000-06-G5:0 }	{CRC0229LMX0A02004TUMD01000-011-H8:0 CRC0229LMX0B01001TUMD01000-06-D12:0 CRC0229LMX0B04005TUMD01000-034-A1:0 CRC0229NLH0000000000D01000-04-B8:0 CRC0229LMH0000000000D01000-02-B8:0 CRC0229LMX0B02004TUMD01000-011-A9:0 CRC0229LMX0B05016TUMD01000-034-A12:0 CRC0229LMX0B03003TUMD01000-029-H10:0 CRC0229LMX0B05017TUMD01000-034-B12:0 CRC0229LMX0A01001TUMD01000-06-G5:0 }	
1161-CRC0254LMH0000000000D01000-02-B9	{CRC0254NLH0000000000D01000-04-B9:0 CRC0483NLH0000000000D01000-019-E5:0 CRC0254NLH0000000000D01000-021-E9:0 }	{CRC0254LMH0000000000D01000-02-B9:0 CRC0483LMH0000000000D01000-019-D5:0 }	{CRC0254LMH0000000000D01000-02-B9:0 CRC0254NLH0000000000D01000-021-E9:0 CRC0254NLH0000000000D01000-04-B9:0 }	
1162-CRC0268LMH0000000000D01000-02-B10	{CRC0271NLH0000000000D01000-04-D10:0 CRC0271NMH0000000000D03000-031-B8:0 }	{CRC0268LMH0000000000D01000-02-B10:0 CRC0282PRH0000000000D03000-031-C8:0 }	{CRC0268LMH0000000000D01000-02-B10:0 }	
1163-CRC0294LMH0000000000D01000-02-B11	{CRC0294NLH0000000000D01000-04-B11:0 }	{CRC0294LMH0000000000D01000-02-B11:0 }	{CRC0294NLH0000000000D01000-04-B11:0 CRC0294LMH0000000000D01000-02-B11:0 }	
1164-CRC0307LMH0000000000D01000-02-B12	{CRC0166NLH0000000000D01000-04-D3:2 CRC0307NLH0000000000D01000-04-B12:2 CRC0306NLH0000000000D01000-04-A12:2 CRC0166NLH0000000000D01000-020-G7:2 }	{CRC0307LMX0B01001TUMD01000-012-F3:0 CRC0307LMX0A03002TUMD01000-015-C9:0 CRC0307LMH0000000000D01000-02-B12:0 CRC0307LMX0B02004TUMD01000-011-A11:0 CRC0307LMX0A01001TUMD01000-012-E3:0 CRC0307LMX0A04001TUMD01000-027-C6:0 CRC0307LMX0B03007TUMD01000-016-B6:0 CRC0307LMX0A03004TUMD01000-015-B9:0 }	{CRC0307LMX0B01001TUMD01000-012-F3:0 CRC0307LMX0A03002TUMD01000-015-C9:0 CRC0307LMH0000000000D01000-02-B12:0 CRC0307LMX0B02004TUMD01000-011-A11:0 CRC0307LMX0A01001TUMD01000-012-E3:0 CRC0307LMX0A04001TUMD01000-027-C6:0 CRC0307LMX0B03007TUMD01000-016-B6:0 CRC0307LMX0A03004TUMD01000-015-B9:0 }	
1165-CRC0145LMH0000000000D01000-02-C1	{CRC0145NLH0000000000D01000-04-C1:0 CRC0145NLH0000000000D01000-020-F3:0 }	{CRC0145LMX0B01001TUMD01000-08-B10:0 CRC0145LMX0A01001TUMD01000-07-B10:0 CRC0145LMX0B02004TUMD01000-09-E9:0 CRC0145LMX0A01201TUMD01000-020-F4:0 CRC0145LMX0A03003TUMD01000-016-A2:0 CRC0145LMH0000000000D01000-02-C1:0 CRC0145LMX0A03006TUMD01000-016-D1:0 CRC0145LMX0A02004TUMD01000-09-D9:0 }	{CRC0145NLH0000000000D01000-04-C1:0 CRC0145LMX0B01001TUMD01000-08-B10:0 CRC0145LMX0A01001TUMD01000-07-B10:0 CRC0145LMX0B02004TUMD01000-09-E9:0 CRC0145NLH0000000000D01000-020-F3:0 CRC0145LMX0A01201TUMD01000-020-F4:0 CRC0145LMX0A03003TUMD01000-016-A2:0 CRC0145LMH0000000000D01000-02-C1:0 CRC0145LMX0A03006TUMD01000-016-D1:0 CRC0145LMX0A02004TUMD01000-09-D9:0 }	
1166-CRC0153LMH0000000000D01000-02-C2	{CRC0153NLH0000000000D01000-020-G1:0 CRC0153NLH0000000000D01000-04-C2:0 }	{CRC0153LMX0B04008TUMD01000-026-A9:0 CRC0153LMH0000000000D01000-02-C2:0 CRC0153LMX0B04001TUMD01000-026-B9:0 CRC0153LMX0A02001TUMD01000-011-E1:0 CRC0153LMX0B02004TUMD01000-011-F1:0 CRC0153LMX0B07014TUMD01000-033-A7:0 CRC0153LMX0A01201TUMD01000-020-G2:0 CRC0153LMX0B08002TUMD01000-033-B7:0 CRC0153LMX0A03002TUMD01000-015-A12:0 CRC0153LMX0B01001TUMD01000-08-A11:0 CRC0153LMX0B04015TUMD01000-026-E9:0 CRC0153LMX0B02203TUMD01000-033-C6:0 CRC0153LMX0B04023TUMD01000-026-F9:0 CRC0153LMX0B05020TUMD01000-036-A6:0 CRC0153LMX0B06021TUMD01000-033-D6:0 CRC0153LMX0B04022TUMD01000-026-G9:0 CRC0153LMX0B06039TUMD01000-033-E6:0 CRC0153LMX0A01001TUMD01000-07-A11:0 CRC0153LMX0B06028TUMD01000-033-F6:0 CRC0153LMX0B03019TUMD01000-025-F12:0 CRC0153LMX0B04002TUMD01000-027-A11:0 CRC0153LMX0B06011TUMD01000-033-G6:0 CRC0153LMX0B04016TUMD01000-027-B11:0 CRC0153LMX0B06002TUMD01000-033-H6:0 }	{CRC0153LMX0B04008TUMD01000-026-A9:0 CRC0153LMH0000000000D01000-02-C2:0 CRC0153LMX0B04001TUMD01000-026-B9:0 CRC0153LMX0A02001TUMD01000-011-E1:0 CRC0153LMX0B02004TUMD01000-011-F1:0 CRC0153LMX0B07014TUMD01000-033-A7:0 CRC0153NLH0000000000D01000-020-G1:0 CRC0153LMX0A01201TUMD01000-020-G2:0 CRC0153LMX0B04015TUMD01000-026-E9:0 CRC0153LMX0A03002TUMD01000-015-A12:0 CRC0153LMX0B01001TUMD01000-08-A11:0 CRC0153LMX0B08002TUMD01000-033-B7:0 CRC0153LMX0B02203TUMD01000-033-C6:0 CRC0153LMX0B04023TUMD01000-026-F9:0 CRC0153LMX0B05020TUMD01000-036-A6:0 CRC0153NLH0000000000D01000-04-C2:0 CRC0153LMX0B06021TUMD01000-033-D6:0 CRC0153LMX0B04022TUMD01000-026-G9:0 CRC0153LMX0B06039TUMD01000-033-E6:0 CRC0153LMX0A01001TUMD01000-07-A11:0 CRC0153LMX0B06028TUMD01000-033-F6:0 CRC0153LMX0B03019TUMD01000-025-F12:0 CRC0153LMX0B04002TUMD01000-027-A11:0 CRC0153LMX0B06011TUMD01000-033-G6:0 CRC0153LMX0B04016TUMD01000-027-B11:0 CRC0153LMX0B06002TUMD01000-033-H6:0 }	
1167-CRC0165LMH0000000000D01000-02-C3	{CRC0165NLH0000000000D01000-04-C3:0 }	{CRC0165LMX0A04012TUMD01000-034-C2:0 CRC0165LMX0A02004TUMD01000-011-A3:0 CRC0165LMX0B02202TUMD01000-029-D11:0 CRC0165LMX0A03007TUMD01000-032-G11:0 CRC0165LMX0A03003TUMD01000-032-F11:0 CRC0165LMH0000000000D01000-02-C3:0 CRC0165LMX0B01001TUMD01000-08-D11:0 CRC0165LMX0A01001TUMD01000-07-D11:0 }	{CRC0165LMX0B01001TUMD01000-08-D11:0 CRC0165LMX0A02004TUMD01000-011-A3:0 CRC0165LMX0B02202TUMD01000-029-D11:0 CRC0165LMX0A03007TUMD01000-032-G11:0 CRC0165NLH0000000000D01000-04-C3:0 CRC0165LMH0000000000D01000-02-C3:0 CRC0165LMX0A04012TUMD01000-034-C2:0 CRC0165LMX0A03003TUMD01000-032-F11:0 CRC0165LMX0A01001TUMD01000-07-D11:0 }	
1169-CRC0190LMH0000000000D01000-02-C5	{CRC0190NLH0000000000D01000-021-D3:0 CRC0190NLH0000000000D01000-04-C5:0 }	{CRC0190LMX0A01001TUMD01000-06-B4:0 CRC0190LMX0B01001TUMD01000-06-G10:0 CRC0190LMX0A02004TUMD01000-011-A6:0 CRC0190LMX0A01201TUMD01000-021-D4:0 CRC0190LMH0000000000D01000-02-C5:0 CRC0190LMX0B02004TUMD01000-011-B6:0 }	{CRC0190LMX0A01001TUMD01000-06-B4:0 CRC0190LMX0B01001TUMD01000-06-G10:0 CRC0190LMX0A02004TUMD01000-011-A6:0 CRC0190NLH0000000000D01000-021-D3:0 CRC0190LMX0A01201TUMD01000-021-D4:0 CRC0190NLH0000000000D01000-04-C5:0 CRC0190LMH0000000000D01000-02-C5:0 CRC0190LMX0B02004TUMD01000-011-B6:0 }	
1170-CRC0205LMH0000000000D01000-02-C6	{CRC0205NLH0000000000D01000-04-C6:2 }	{CRC0205LMH0000000000D01000-02-C6:0 }	{CRC0205LMH0000000000D01000-02-C6:0 }	
1171-CRC0217LMH0000000000D01000-02-C7	{CRC0217NLH0000000000D01000-04-C7:0 }	{CRC0217LMX0B02004TUMD01000-011-D8:0 CRC0217LMX0A01001TUMD01000-06-B5:0 CRC0217LMX0A02004TUMD01000-011-C8:0 CRC0217LMH0000000000D01000-02-C7:0 CRC0217LMX0B01001TUMD01000-06-A12:0 }	{CRC0217LMX0A01001TUMD01000-06-B5:0 CRC0217LMX0A02004TUMD01000-011-C8:0 CRC0217LMX0B02004TUMD01000-011-D8:0 CRC0217NLH0000000000D01000-04-C7:0 CRC0217LMH0000000000D01000-02-C7:0 CRC0217LMX0B01001TUMD01000-06-A12:0 }	
1172-CRC0230LMH0000000000D01000-02-C8	{CRC0230NLH0000000000D01000-04-C8:0 }	{CRC0230LMH0000000000D01000-02-C8:0 }	{CRC0230NLH0000000000D01000-04-C8:0 CRC0230LMH0000000000D01000-02-C8:0 }	
1173-CRC0255LMH0000000000D01000-02-C9	{CRC0255NLH0000000000D01000-04-C9:0 }	{CRC0255LMH0000000000D01000-02-C9:0 }	{CRC0255NLH0000000000D01000-04-C9:0 CRC0255LMH0000000000D01000-02-C9:0 }	
1174-CRC0269LMH0000000000D01000-02-C10	{CRC0269NLH0000000000D01000-04-C10:0 }	{CRC0269LMH0000000000D01000-02-C10:0 }	{CRC0269NLH0000000000D01000-04-C10:0 CRC0269LMH0000000000D01000-02-C10:0 }	
1175-CRC0295LMH0000000000D01000-02-C11	{CRC0295NLH0000000000D01000-04-C11:1 }	{CRC0295LMH0000000000D01000-02-C11:0 }	{CRC0295LMH0000000000D01000-02-C11:0 }	
1176-CRC0309LMH0000000000D01000-02-C12	{CRC0309NLH0000000000D01000-04-C12:0 }	{CRC0309LMH0000000000D01000-02-C12:0 }	{CRC0309LMH0000000000D01000-02-C12:0 CRC0309NLH0000000000D01000-04-C12:0 }	
1177-CRC0146LMH0000000000D01000-02-D1	{CRC0146NLH0000000000D01000-020-F5:1 CRC0146NLH0000000000D01000-04-D1:1 }	{CRC0146LMX0B03004TUMD01000-032-A11:0 CRC0146LMX0A03006TUMD01000-016-C1:0 CRC0146LMX0B02004TUMD01000-09-H8:0 CRC0146LMX0A03025TUMD01000-030-G10:0 CRC0146LMX0B01001TUMD01000-08-C10:0 CRC0146LMX0A01001TUMD01000-07-C10:0 CRC0146LMX0A03016TUMD01000-026-H7:0 CRC0146LMH0000000000D01000-02-D1:0 CRC0146LMX0A01201TUMD01000-020-F6:0 CRC0146LMX0A02004TUMD01000-09-G8:0 }	{CRC0146LMX0B03004TUMD01000-032-A11:0 CRC0146LMX0A03006TUMD01000-016-C1:0 CRC0146LMX0B02004TUMD01000-09-H8:0 CRC0146LMX0A01201TUMD01000-020-F6:0 CRC0146LMX0A03025TUMD01000-030-G10:0 CRC0146LMX0B01001TUMD01000-08-C10:0 CRC0146LMX0A01001TUMD01000-07-C10:0 CRC0146LMX0A03016TUMD01000-026-H7:0 CRC0146LMH0000000000D01000-02-D1:0 CRC0146LMX0A02004TUMD01000-09-G8:0 }	
1178-CRC0154LMH0000000000D01000-02-D2	{CRC0154NLH0000000000D01000-04-D2:1 }	{CRC0154LMH0000000000D01000-02-D2:0 }	{CRC0154LMH0000000000D01000-02-D2:0 }	
1179-CRC0166LMH0000000000D01000-02-D3	{CRC0166NLH0000000000D01000-04-D3:0 CRC0307NLH0000000000D01000-04-B12:0 CRC0306NLH0000000000D01000-04-A12:0 CRC0166NLH0000000000D01000-020-G7:0 }	{CRC0166LMX0B01001TUMD01000-08-E11:0 CRC0166LMX0A01001TUMD01000-07-E11:0 CRC0166LMX0A03002TUMD01000-017-A6:0 CRC0166LMX0B03008TUMD01000-035-E3:0 CRC0166LMX0A01201TUMD01000-020-G8:0 CRC0166LMX0A03006TUMD01000-017-B6:0 CRC0166LMH0000000000D01000-02-D3:0 }	{CRC0166LMX0B01001TUMD01000-08-E11:0 CRC0166LMX0A01001TUMD01000-07-E11:0 CRC0166LMX0A03002TUMD01000-017-A6:0 CRC0166LMX0B03008TUMD01000-035-E3:0 CRC0166NLH0000000000D01000-020-G7:0 CRC0166LMX0A01201TUMD01000-020-G8:0 CRC0166NLH0000000000D01000-04-D3:0 CRC0166LMH0000000000D01000-02-D3:0 CRC0166LMX0A03006TUMD01000-017-B6:0 }	
1180-CRC0176LMH0000000000D01000-02-D4	{CRC0176NLH0000000000D01000-04-D4:0 CRC0176NLH0000000000D01000-020-G11:0 }	{CRC0176LMX0A03005TUMD01000-017-E10:0 CRC0176LMX0A04212TUMD01000-029-A2:0 CRC0176LMH0000000000D01000-02-D4:0 CRC0176LMX0A02004TUMD01000-09-B11:0 CRC0176LMX0A04215TUMD01000-029-B2:0 CRC0176LMX0A06240TUMD01000-029-B3:0 CRC0176LMX0A06213TUMD01000-029-A3:0 CRC0176LMX0A04224TUMD01000-030-E6:0 CRC0176LMX0B02004TUMD01000-09-C11:0 CRC0176LMX0A05235TUMD01000-029-C2:0 CRC0176LMX0B03207TUMD01000-029-C3:0 CRC0176LMX0A04229TUMD01000-030-F6:0 CRC0176LMX0A01201TUMD01000-020-G12:0 CRC0176LMX0A05255TUMD01000-029-D2:0 CRC0176LMX0B03204TUMD01000-029-D3:0 CRC0176LMX0B03009TUMD01000-025-D4:0 CRC0176LMX0A05205TUMD01000-029-E2:0 CRC0176LMX0B03205TUMD01000-029-E3:0 CRC0176LMX0B01001TUMD01000-08-C12:0 CRC0176LMX0A05248TUMD01000-029-F2:0 CRC0176LMX0A06246TUMD01000-029-G2:0 CRC0176LMX0A06211TUMD01000-029-H2:0 CRC0176LMX0A01001TUMD01000-07-C12:0 }	{CRC0176LMX0A03005TUMD01000-017-E10:0 CRC0176LMX0A04212TUMD01000-029-A2:0 CRC0176LMX0A06213TUMD01000-029-A3:0 CRC0176LMX0A02004TUMD01000-09-B11:0 CRC0176LMX0A04215TUMD01000-029-B2:0 CRC0176LMX0A06240TUMD01000-029-B3:0 CRC0176LMH0000000000D01000-02-D4:0 CRC0176LMX0A04224TUMD01000-030-E6:0 CRC0176LMX0B02004TUMD01000-09-C11:0 CRC0176LMX0A05235TUMD01000-029-C2:0 CRC0176LMX0B03207TUMD01000-029-C3:0 CRC0176LMX0A04229TUMD01000-030-F6:0 CRC0176NLH0000000000D01000-020-G11:0 CRC0176LMX0A01201TUMD01000-020-G12:0 CRC0176LMX0A05255TUMD01000-029-D2:0 CRC0176LMX0B03204TUMD01000-029-D3:0 CRC0176LMX0B03009TUMD01000-025-D4:0 CRC0176LMX0A05205TUMD01000-029-E2:0 CRC0176LMX0B03205TUMD01000-029-E3:0 CRC0176LMX0B01001TUMD01000-08-C12:0 CRC0176LMX0A05248TUMD01000-029-F2:0 CRC0176NLH0000000000D01000-04-D4:0 CRC0176LMX0A06246TUMD01000-029-G2:0 CRC0176LMX0A06211TUMD01000-029-H2:0 CRC0176LMX0A01001TUMD01000-07-C12:0 }	
1181-CRC0194LMH0000000000D01000-02-D5	{CRC0194NLH0000000000D01000-04-D5:0 }	{CRC0194LMH0000000000D01000-02-D5:0 }	{CRC0194NLH0000000000D01000-04-D5:0 CRC0194LMH0000000000D01000-02-D5:0 }	
1182-CRC0207LMH0000000000D01000-02-D6	{CRC0207NLH0000000000D01000-04-D6:0 }	{CRC0207LMX0B01001TUMD01000-06-E11:0 CRC0207LMX0A01001TUMD01000-06-G4:0 CRC0207LMX0B02004TUMD01000-011-F7:0 CRC0207LMH0000000000D01000-02-D6:0 CRC0207LMX0A02001TUMD01000-011-E7:0 }	{CRC0207LMX0B02004TUMD01000-011-F7:0 CRC0207LMX0A01001TUMD01000-06-G4:0 CRC0207LMX0B01001TUMD01000-06-E11:0 CRC0207LMX0A02001TUMD01000-011-E7:0 CRC0207NLH0000000000D01000-04-D6:0 CRC0207LMH0000000000D01000-02-D6:0 }	
1183-CRC0218LMH0000000000D01000-02-D7	{CRC0218NLH0000000000D01000-04-D7:0 }	{CRC0218LMH0000000000D01000-02-D7:0 }	{CRC0218NLH0000000000D01000-04-D7:0 CRC0218LMH0000000000D01000-02-D7:0 }	
